INDEX,DESCRIPTION,CATEGORY
2501,Around 6 months back a boy followed me in the afternoon.,"Stalking, "
2502,"This incident took place to a girl who lives near my place at the backside of toilet complex no. 7.

She went to her boyfriend's house wherein she was raped by his boyfriend and his friends.It happened in the night around 6 months back.","Rape / Sexual Assault, "
2503,"Whenever I go to the toilet complex, I am harassed.","Ogling/Facial Expressions/Staring, Commenting, Touching /Groping, Rape / Sexual Assault, Poor / No Street Lighting, Chain Snatching, "
2504,"This happened with my friend around 6 months back. While she was on her way to college in the morning, some boys commented on her.","Commenting, "
2505,"This incident took place in Govindpuri, kalkaji lane no. 5. I was in the market in the afternoon wherein I noticed that a few boys were harassing a girl. They took her hand and then started singing songs.They were also using some inappropriate words. When one boy questioned them, these boys started beating him.
Its been a month.","Stalking, "
2506,"Around 30 days back, while I was going for my tuition in madangir c block, some people passed comments at me.It happened during the evening.","Commenting, "
2507,This incident took place in evening with my friend's sister.She was in the market and she was followed by some boys who asked her to be friends with them.,"Stalking, "
2508,I was walking out of the mall with my friend and a middle aged man riding on the bike watching us and making inappropriate faces passed a comment on us. It was so annoying that not only youngsters but grown-ups also have no respect for women.,"Commenting, Ogling/Facial Expressions/Staring, "
2509,"I was going to my campus once when a boy at the bus station wanted to come with me. I told him not to follow, but he tried to follow me to a bus and the bus driver threw him out.

Once we had a group of foreigners walking in a city when one guy started following us everywhere and in the end he started asking whether we have ever had sex etc.","Sexual Invites, "
2510,"the way is quiet lonely, with no people even at the bus stops. there are only Taxi drivers who stand there and no people walking even at 8 am on the road.","Poor / No Street Lighting, "
2511,"My 86 year old mother was attacked by a chain snatcher in our building on 3 December 2012. In the scuffle, she fell down and fractured her thigh bone.","Chain Snatching, "
2512,"Was followed by man on bike, while I was walking home from bus stop.","Commenting, "
2513,A group of boys threw flowers on me and commenting indecently while I was walking ahead of them.,"Indecent exposure, "
2514,"the entire stretch, a little ahead of movie time theatre,ramchandra lane extension is very unsafe due to absence of street lights. The entire road is too dark and the filled with potholes. Adding to it is the presence of a liquor shop and a cigaratte shop in the lane attracting young boys who sit and drink till late nights. The lane also has a slum settlement making things worse.The slum dwellers add to the unsafety of the road.","Poor / No Street Lighting, "
2515,"This is a complete slum area which is filled with drunkards, drug addicts &amp; this is one of the areas with lots of murder reports now a days.... Beware if you are going there as it is next to the sea &amp; you could be thrown in the sea after torture with no help ...","Poor / No Street Lighting, "
2516,I was returning home from market when a boy standing near by passed vulgar comments.,"Commenting, "
2517,When I was travelling with my girl friends to . The bus halted somewhere for a min break. We were roaming and Taking pictures/ Distributing pictures and suddenly a man exposed his body and started waving it towards us. We were embarrassed and moved ahead. The month and date and location are all approximate.,"Sexual Invites, "
2518,"Sitting at desk, working, manager comes asking for some update, stares only at chest of females.Also makes indecent remark to a newly joined member regarding her saree.","Indecent exposure, "
2519,"We obseved many anti-social elements like people using the place for loo, smoking, drinking etc","Indecent exposure, "
2520,"This happened to a friend of mine in tigri.She was coming back from school where four boys surrounded and harassed her. She also shouted for help but no one intervened.The boys took her away and when her parents lodged and FIR, she was killed by the boys.","Stalking, Taking pictures/ Distributing pictures, "
2521,I went to this market along with my sister in- the evening and a man around 80-90 years in age was staring at me inappropriately.,"Ogling/Facial Expressions/Staring, "
2522,A boy in my tuition was staring at me inappropriately.It happened in the evening and its been a month,"Ogling/Facial Expressions/Staring, "
2523,I was followed by a man in a hospital.,"Stalking, "
2524,This happened to my friend one afternoon. She was standing outside her home. A man was staring and coming towards her. He then came really close her and touched and groped her.Its been around 6 months.,"Stalking, Commenting, Touching /Groping, "
2525,"When I used to go for my tuition, near the tuition there was a boy. He always used to pass comments on the colour of my clothes. It used to happen in the evening. Its been around 3 months.","Ogling/Facial Expressions/Staring, Commenting, "
2526,"While I was on my way to tuition, I was harassed.","Ogling/Facial Expressions/Staring, Commenting, "
2527,"While I was going to the public toilet from my home, i was harassed. Its been a month.","Ogling/Facial Expressions/Staring, "
2528,A woman I know was harassed around 6 months back in the night.,"Others, "
2529,"Around 6 months back, I was followed by a guy in the evening.","Stalking, "
2530,A guy usually clicks picture of my friend. It happens in the evening.,"Taking pictures/ Distributing pictures, "
2531,"My friend came to my place around 6months back and while she was on her way, boys were staring at her in at inappropriate manner. It happened in front of the mosque in the afternoon.","Ogling/Facial Expressions/Staring, "
2532,It happened ear the toilet complex in the night. The way towards tge toilet is usually surrounded with a group of boys who stare at us. Its been a month.,"Ogling/Facial Expressions/Staring, Stalking, "
2533,"Near a park, I was followed by a boy in the evening. It's been around 6 months","Commenting, "
2534,A boy touched me on my back in an inappropriate way.It happened in the night at friday market in dakshinpuri.,"Touching /Groping, "
2535,I was in a bus and a boy was staring at me in an inappropriate manner.It happened in the evening and its been around 6 months.,"Ogling/Facial Expressions/Staring, Commenting, "
2536,We do not have toilet in our house. We usually access the public toilet complex. The toilet is usually surrounded by a group of boys and they pass comments.It happened at all hours of the day.,"Ogling/Facial Expressions/Staring, Taking pictures/ Distributing pictures, Catcalls/Whistles, Commenting, "
2537,my friend was harassed in sanjay camp at night.Its been more than 6 months.,"Touching /Groping, Others, "
2538,"Me and my sister were going to the market and a boy  started whistling at my sister. He also blocked our way. Then my sister abused him a lot. It happened in the afternoon.
Its been more than 6 months.","Ogling/Facial Expressions/Staring, Catcalls/Whistles, "
2539,I was coming back home from school with my friend in the afternoon.Some boys were passing obscene comments. its been a month.,"Ogling/Facial Expressions/Staring, Stalking, Catcalls/Whistles, Commenting, "
2540,"I was coming back home from school with my friend in the afternoon.There were some men who had a phone and he clicked pictures of my friend. It happened near J/B 454, in front of black school building.","Taking pictures/ Distributing pictures, "
2541,I was going for my tuition. a group of boys were whistling and ogling in a very inappropriate way.,"Ogling/Facial Expressions/Staring, "
2542,"I was on way to home, a guy was staring me.Its been more than 6 months.","Ogling/Facial Expressions/Staring, "
2543,I was going home after my tuition around 8 in the evening and a guy followed me. Its been around 3 months.,"Commenting, Ogling/Facial Expressions/Staring, Stalking, Indecent exposure, "
2544,"It happened at my house. My brother harassed me and also misbehaved with me one night.
Its been six months.","Catcalls/Whistles, Commenting, Ogling/Facial Expressions/Staring, Indecent exposure, Others, "
2545,"Neighbor using vague language, shouting, creating nuisance, foul &amp; bad body language.","Others, "
2546,Extremely dark road to walk on. Absolute No No if you are alone. Must carry pepperspray in your hand when walking here even to catch an autorickshaw. Bikers will catcall/whistle relentlessly.,"Others, "
2547,"Hi Team,
We surveyed Sohna Area which is in Haryana . We have found that the area is highly vulnerable to local people and their violence. We need strict law here .","Others, "
2548,"Vulgar touching by stupid bike riders. Just can't expect that. There are some illegal elements causing trouble to girls.
Sometimes some people are seen with indescribable activities in front of girls hostel or in close proximity. Don't know what those fucking shit get doing this....","Rape / Sexual Assault, "
2549,I get scared to take the sky-walk. It is not very crowded as people avoid climbing the stairs. Drug addicts or drunks are seen lingering on the sky walk.,"Poor / No Street Lighting, Others, "
2550,Happened to a girl who married someone outside her community. The boy from her community tried to throw acid on her.,"Others, "
2551,I was in a bus where a man sitting in front of me was trying to click my pictures in his mobile phone. A lady sitting next to him shouted on him after seeing this.,"Taking pictures/ Distributing pictures, "
2552,"Near school, I was looked at in an inappropriate manner","Catcalls/Whistles, Commenting, Ogling/Facial Expressions/Staring, Touching /Groping, "
2553,Two men near the auto stand blocked my way and started snatching my dupatta,"Touching /Groping, Sexual Invites, "
2554,my neighbor would follow me whenever i went to the toilet complex. I kept ignoring him. Then one day he just entered the women's toilet and started forcing himself on me. I pushed him and ran back home but i could never tell my parents about it or they would send me back to the village,"Stalking, Touching /Groping, "
2555,"I was going to pick up my son from the school. Four men sitting in an auto riksha, they looked drunk, started passing obscene comments about me and openly started asking me to have sex. I was so scared that what if someone hears them and blames me because i am a woman. I just ran as fast as i could.","Catcalls/Whistles, Commenting, Sexual Invites, "
2556,We went on a school camp in 10 std and we visited the  market and all of us were in the bus. we realised that a man(stranger) was offering us chocolates and was trying to harass and we all shouted and he ran away. We informed our teacher.,"Rape / Sexual Assault, "
2557,when i was going back home there were few guys who were sitting in the car when they saw me they started following me and passed some comments,"Catcalls/Whistles, Commenting, "
2558,"Age: 16 years
Type of harassment:
Stalking- at Choglamsar (Leh) (evening)
Catcalls- at Choglamsar, Leh market and school in Leh (evening/day time)
Commenting- at school and Leh market (day time)
Touching- at school (day time)
Sexual invites- at Choglamsar (evening)
Others- asking for phone number (day time)","Stalking, Catcalls/Whistles, Commenting, Touching /Groping, Sexual Invites, Others, "
2559,"Age: 16 years
Type of harassment:
Stalking- at Leh main bazaar in 2015 (day time)
Taking pictures/ Distributing pictures- at Leh main bazaar in 2015 (day time)
Commenting- at school in Leh (day time)","Stalking, Taking pictures/ Distributing pictures, Commenting, "
2560,"Stalking- at my village on 27th February, 2016 (day time)","Stalking, "
2561,"Age: 15 years
Type of harassment:
Catcalls- in Jammu in 2016 (day time/evening)","Catcalls/Whistles, "
2562,"Age: 16 years
Type of harassment:

Catcalls- at Hemis village in 2016 during “kachos” (sermon) (day time)","Catcalls/Whistles, "
2563,"Age: 19 years
Type of harassment:
Facial expressions- at Leh market (day time)
Stalking- at Leh market (day time)
Catcalls- during tuition time in Leh (day time)","Ogling/Facial Expressions/Staring, Stalking, Catcalls/Whistles, "
2564,"Age: 16 years
Type of harassment:
Facial expressions- at my neighbour’s house (evening)
Stalking- at Leh market (day time)
Catcalls- at Leh market and my village (day time/evening)","Ogling/Facial Expressions/Staring, Stalking, Catcalls/Whistles, "
2565,"Age: 18 years
Type of harassment:
Stalking- at Leh market near Yebhi showroom (day time)
Catcalls- in classroom at school in Leh (day time)
Commenting- “zesma lay” (looking beautiful) (day time)
Sexual invites- yes (evening)","Stalking, Catcalls/Whistles, Commenting, Sexual Invites, "
2566,"Age: 18 years old
Type of harassment:
Stalking- at Ibex Colony in Leh (day time)
Catcalls- at Skalzangling taxi stand in Leh (day time)
Commenting- “deymo thong duk” (looking nice) (day time)
Sexual invites- yes (day time)","Stalking, Catcalls/Whistles, Commenting, Sexual Invites, "
2567,"Age: 15 years
Type of harassment:
Catcalls- in 2016 in Hemis village (day time)","Catcalls/Whistles, "
2568,"Age: 15 years
Type of harassment:
Stalking- at Choglamsar (Leh) in 2014 (day time)","Stalking, "
2569,"Age: 19 years
Type of harassment:
Staring/Ogling- at Choglamsar (Leh) (day time)
Stalking- at Leh main bazaar (day time)
Catcalls/Whistles- at Housing Colony in Leh (day time)
Sexual invites- yes (evening)","Ogling/Facial Expressions/Staring, Stalking, Catcalls/Whistles, Sexual Invites, "
2570,"Age: 16 years
Type of harassment:
Stalking- at Leh market when I was returning home from school (evening)
Catcalls- “chocho lay” (hey doll) (day time)
Commenting- “moti” (fat), “balu” (small) (day time/evening)
Touching- when I was at my brother’s wedding (night)","Stalking, Catcalls/Whistles, Commenting, Touching /Groping, "
2571,"Age: 17 years
Type of harassment:
Catcalls- at Neymoling market near bus station in Leh in March 2016 (evening)","Catcalls/Whistles, "
2572,"Age: 15 years
Type of harassment:
Facial expressions- at Leh market in 2016 (day time)
Catcalls- at school and streets in Leh in 2015 (day time/evening)","Ogling/Facial Expressions/Staring, Catcalls/Whistles, "
2573,"Age: 15 years
Type of harassment:
Facial expressions- at school in Leh in 2016 (day time)
Taking pictures/ Distributing pictures- at Leh market in 2015 (day time)
Catcalls- at school in Leh in 2016 (day time)","Ogling/Facial Expressions/Staring, Taking pictures/ Distributing pictures, Catcalls/Whistles, "
2574,"Age: 19 years
Type of harassment:
Stalking- at Leh market (day time)
Caltcalls- at Choglamsar near Choglamsar bridge (evening)","Stalking, Catcalls/Whistles, "
2575,"Age: 16 years
Type of harassment:
Commenting- at school in Leh (day time)","Commenting, "
2576,"Age: 17 years
Type of harassment:
Staring/Ogling- when I was roaming in Leh market (evening)
Stalking- in 2014 during “kachos” (sermon) in Choglamsar (Leh) (day time)
Catcalls- at market in 2015 during tuition time (day time)
Commenting- “moti” (fat) (day time)","Ogling/Facial Expressions/Staring, Stalking, Catcalls/Whistles, Commenting, "
2577,"Age: 15 years
Type of harassment:
Staring/Ogling- in market (day time)
Stalking- in Leh market on 15th August, 2015 (evening)
Catcalls- on 15th August, 2015 (evening)
Sexual invites- yes (evening)","Ogling/Facial Expressions/Staring, Stalking, Catcalls/Whistles, Sexual Invites, "
2578,"Age: 16 years
Type of harassment:
Taking pictures/ Distributing pictures- at picnic (day time)","Taking pictures/ Distributing pictures, "
2579,"Age: 15 years
Type of harassment:
Taking pictures/ Distributing pictures- at a party (night)
Catcalls- “wa jat” (you look like a jat) (day time)","Taking pictures/ Distributing pictures, Catcalls/Whistles, "
2580,"Some people drunked tried to molest me. These people were of slum areas and mainly they were youth. There were 6 in number and one of them was shockingly a Teen as well.
Please stop this or unless Many of us would even think twice while going out of our homes.","Touching /Groping, "
2581,Bad Street Lights on Sohna Gurgaon Highway,"Poor / No Street Lighting, "
2582,Many youth after drinking in  the open street were abusing a girl. Some people gathered there and saved the girl child from there but there should be a stop to these activities.,"Others, "
2583,"Mathura Highway , Not enough lights on the way during nights. So is not safe for a individual to journey alone.","Poor / No Street Lighting, "
2584,I was crossing the road when a truck came there was a boy inside it who saw me and shouted &quot;kya dhunadar maal hai &quot; and then I cried like hell,"Commenting, "
2585,I saw two boys in the bike coming from the opposite direction snatches a golden chain of a middle aged woman she was crying loud to get it back but they vanished in a few second from that place,"Chain Snatching, "
2586,Indecent Environment in this area with lot of drunkers.,"Others, "
2587,"A friend of mine had sexually harassed in the bus,though the seat of other bus was vacant that old guy sat near by her and keep on touching her intentionally then she didn't want to create a scene and get off from the bus though it wasn't her stop.","Sexual Invites, "
2588,Twice I was groped by drunk men. They were from my own society and it was during night hours. I was schooling so didn't know how to react.,"Touching /Groping, "
2589,Kurla station very dimly lit and very unsafe,"Poor / No Street Lighting, "
2590,Two men kept staring and passed lewd comments when I started walking away about what they would like to do to my body.,"Stalking, "
2591,I am shocked why there have been no incident reported from the Pink City.Eve Teasing is so very common that it happen to girls almost every day.Well Let me share 1 such incident of my friend.We were studying in 1 of the prestigious girls college in Jaipur and were staying as a paying guest in C-scheme jaipur.Two of my friends went out to market to get something when suddenly 1 car came. I think they were 4-5 boys in the car.One of them tried to drag my friend in the car by groping in wrong place.Luckily the other friend saved her by shouting .It was so dreadful.She still cannt forget the incident..This is not just 1 case.. These kind of incidents keep happening there ..,"Indecent exposure, Others, "
2592,"Was walking on the street, a guy stands leaning on the gate of his home and whistles and calls out to me the whole time I cross his home.I take that road daily, except Sunday, to go to music classes.This went on for a month and I finally quit music classes.I was 13 then.","Indecent exposure, "
2593,"Age: 18 years old
Type of harassment:
Stalking- at Ibex Colony in Leh (day time)
Catcalls- at Skalzangling taxi stand in Leh (day time)
Commenting- “deymo thong duk” (looking nice) (day time)
Sexual invites- yes (day time)","Stalking, Catcalls/Whistles, Commenting, Sexual Invites, "
2594,"Age: 15 years old
Type of harassment:
Taking pictures/ Distributing pictures- at Agling (Leh) in 2016 on 28th March (evening)
Catcalls/Whistles- at Skalzangling in Leh (day time)
Commenting- at school in Leh (day time)","Taking pictures/ Distributing pictures, Catcalls/Whistles, Commenting, "
2595,"Age: 16 years
Type of harassment:
Taking pictures/ Distributing pictures- on 28th March, 2016 in Agling (Leh) (evening)
Catcalls/Whistles- at Skalzangling and Leh market in 2016 (day time)
Commenting- at school in Leh (day time)
Sexual invites- at Leh market (day time)
Others- asking for phone number (evening)","Taking pictures/ Distributing pictures, Catcalls/Whistles, Commenting, Sexual Invites, Others, "
2596,"Age: 16 years
Type of harassment:
Commenting- at school in Leh (day time)","Commenting, "
2597,"Age: 16 years
Type of harassment:
Staring/Ogling- at my friend’s home (evening)
Touching- at friend’s home (evening)","Ogling/Facial Expressions/Staring, Touching /Groping, "
2598,"Age: 16 years
Type of harassment:
Stalking- at Leh market (day time)
Catcalls/Whistles- at Leh market (day time)","Stalking, Catcalls/Whistles, "
2599,"Age: 15 years
Type of harassment:
Stalking- when I was going for tuition classes at Leh market (day time)","Stalking, "
2600,"Age: 15 years
Type of harassment:
Staring/Ogling/Facial expressions- at Changspa (Leh) (day time)","Ogling/Facial Expressions/Staring, "
2601,"Age: 15 years
Touching- at tuition classes in 2015","Touching /Groping, "
2602,"Age: 15 years
Commenting- at Leh Bazaar when I was shopping (day time)","Commenting, "
2603,"Age: 15 years

Catcalls/Whistles- at Leh market","Catcalls/Whistles, "
2604,"Age: 16 years
Type of harassment: 
Catcalls- at Leh market","Catcalls/Whistles, "
2605,"Age: 16 years
Type of harassment: 
Staring/Ogling- at Choglamsar (Leh) near Choglamsar bridge on 25th December, 2015 (evening)","Ogling/Facial Expressions/Staring, "
2606,Stalking- at Leh city (day time/evening),"Stalking, "
2607,I am 15 years old and I was stared at in my village during the daytime.,"Ogling/Facial Expressions/Staring, "
2608,"Happened at P.A.M.G.P garden, near the market","Ogling/Facial Expressions/Staring, "
2609,Comments were passed at me at Trimurti Seva sangh chawl,"Commenting, "
2610,"Someone passed a comment at me in my locality, near the temple at Trimukti Seva Sangh chawl","Commenting, Ogling/Facial Expressions/Staring, "
2611,a lady while going to the temple was being teased when two-three boys younger to her were commenting n her.,"Commenting, "
2612,one girl who lives in haider pur village was discomforted by a man who constantly kept on staring her and was looking her in a very cheap way.,"Ogling/Facial Expressions/Staring, "
2613,"When the bus reached Anand Rao Circle, morning around 8.40 am in an attempt to wake me up (I was sleeping on last single upper seat), the driver grabbed my breast. I woke up with a shock and didn't realise what had happened, he then informed me we have reached the last stop. I collected my bags &amp; left the bus, still in a state of sleep &amp; shock.","Rape / Sexual Assault, "
2614,"When walking here it gets dark at times in inner lanes, men keep commenting and will even find ways to touch you where they can","Commenting, "
2615,"Om Sai Beach Huts is not safe for female solo travellers. 

While the owner, Gaurav Bhagat, was drunk he told me that he and the staff were watching me to see if I was sleeping with my friend. (who was there and staying in a seperate room) And that he called them to check what we were doing, and that the ENTIRE STAFF was giving him information about my activities and whereabouts. 

What bothers me most is NOT that he hit on me eventually - but that he and your staff were watching me and they were reporting to you what I was doing. That does not make me feel safe, in fact, because of this I have many doubts about the overall safety of the place. The hut and bathroom had holes in the walls where someone could see inside. I overlooked them, but now I doubt that someone was watching me while I slept and changed clothes and other things which require privacy. 

I cannot recommend this place to anyone knowing what he told me.","Stalking, "
2616,"Two guys on a scooty passed in front as we were crossing the lane, they whistled and said &quot;meoww&quot;","Catcalls/Whistles, "
2617,Two men kept staring and passed lewd comments when I started walking away about what they would like to do to my body.,"Stalking, Catcalls/Whistles, "
2618,Was stuck in the crowd of Thursday market when a low caste cheap touched me inappropriately 3 times. On both breasts and ass.was not able to find him first because of crowd...then found him and shouted.Nobody came to help and pretended they heard nothing..Sadly he ran away before I could slap him,"Touching /Groping, "
2619,I was standing in my balcony at 9:00 pm.whan a guy comes closer to my society.It was dark and nobody was out. He just started peeling off his pants... That was a horrible experience and that day I realise what MASTERBATION is.,"Indecent exposure, "
2620,4 year old girl found missing &amp; then murdered.,"Rape / Sexual Assault, "
2621,"While deboarding the metro at Rajiv chowk, a young guy rubbed me off twice. Initially i ignored it thinking it is due to overcrowded metro. But when it kept repeating and i could feel the bad touch,i turned back and hit him hard also giving him a warning to never repeat it again. This is a very common incident at Rajiv chowk and many of my friends have also been prey to it.","Touching /Groping, "
2622,my friend was waiting for her bus on the stop and there was one more man standing with her whom she didn't know. this man was giving some discomforting facial expressions which could not be tolerated by my friend she couldn't do anything so she left.,"Ogling/Facial Expressions/Staring, "
2623,"A mob of thugs and drug-dealers stalking women, catcalling by-passers, and the Police does nothing.
For the Police, if you ever read, that's the guy called Mehdi, tall with a scar on the forehead, and his friends the drug dealers.","Stalking, Catcalls/Whistles, "
2624,MY FRIENDS AND I WENT TO GIRGAON CHOWPATTY. WHILE WE WERE WALKING A GROUP OF BOYS WAS FOLLOWING. INITIALLY WE THOUGHT IT WAS COINCIDENCE BUT SOON REALISED THAT THEY WERE FOLLOWING US SO WE ALL DECIDED TO CHANGE OUR ROUTE.,"Stalking, "
2625,Was stuck in the crowd of Thursday market when a low caste cheap touched me inappropriately 3 times. On both breasts and ass.was not able to find him first because of crowd...then found him and shouted.Nobody came to help and pretended they heard nothing..Sadly he ran away before I could slap him,"Touching /Groping, "
2626,A guy passed next to me and made sure to rob his elbow against my breast. I guess it's the most efficient way for guys to touch someone and the girl wonder &quot;did he really do that on purpose or am I imagining it?&quot;,"Touching /Groping, "
2627,there was a rape that was seen where at 12 am in the midnight the girl was found naked.,"Rape / Sexual Assault, "
2628,I am shocked why there have been no incident reported from the Pink City.Eve Teasing is so very common that it happen to girls almost every day.Well Let me share 1 such incident of my friend.We were studying in 1 of the prestigious girls college in Jaipur and were staying as a paying guest in C-scheme jaipur.Two of my friends went out to market to get something when suddenly 1 car came. I think they were 4-5 boys in the car.One of them tried to drag my friend in the car by groping in wrong place.Luckily the other friend saved her by shouting .It was so dreadful.She still cannt forget the incident..This is not just 1 case.. These kind of incidents keep happening there ..,"Touching /Groping, "
2629,"The place is sector 16 of Vashi, Navi Mumbai. It was 10.30 PM, as I got down at the sector 16 bus stop from BEST 525 bus and started walking towards home. The footpath is shady without street lights, so I decided to walk along the road. As I was walking, someone loudly screamed from the footpath ... &quot;ae idhar idhar dekh&quot;. I involuntarily turned in that direction to see a guy (a labourer) masturbating himself and smiling at me as he did so! I was shocked but I didn't wait around. I just turned my back on him and walked away briskly to the spot where there are lights and where there was crowd. He kept following me for sometime but after he found out that I was headed in a direction where there were many people, he turned around and went his way.

I was shaken as I reached home. All I felt was fear. But now that I'm reflecting on it, it feels I should have punched him for good. However, running away was all I could think of at that moment!","Commenting, "
2630,There is very poor lighting in this area.Therefore at night it become very difficult for the girls to go out of their house.,"Poor / No Street Lighting, "
2631,An old man of a shop was commenting on us while we were buying things from the other shop.,"Commenting, "
2632,"As a participant criss-crossed the city’s roads during late night hours, it found many stretches of roads including arterial roads like J M Road.

At many of these roads, the streetlights are either dysfunctional or are so dim that they fail to illuminate the roads and pavements. The poorly lit Mumbai-Bangalore bypass is infamous for road mishaps.","Poor / No Street Lighting, "
2633,my friend was standing somewhere in model town and saw somebody clicking her pictures . Although she wasn't sure that they were clicking her pictures only but their expressions made it quiet clear.,"Taking pictures/ Distributing pictures, "
2634,A 20-year-old man allegedly tried to abduct and molest a 12-year-old girl in Safdarjung Enclave while she was returning from school on Wednesday afternoon.,"Touching /Groping, "
2635,A man was sitting on a bench listening to radio.He commented on me and said I Love you while I was passing from there.I was embarrassed at that moment.,"Commenting, "
2636,"I was pinched on my a** when I was returning from college, on the bus 29C, and only because I had two stops, because I was told so, not exactly in those words, in English. I could have slapped him, but both my hands were full and my bag was on my back. Also, the 29C is also pretty crowded in the evening so I didn't have enough space to do anything. I wish this was stopped.","Rape / Sexual Assault, "
2637,It was a evening time two very young boys were riding on the bike. They were roaming around there for some time and eventually they snatched chain from a old women and ran away. That was really scary moment and we should stop that.,"Chain Snatching, "
2638,Few of the people were found commenting on a women late night near Raksham Nilayam,"Commenting, "
2639,"I am a frequent traveller of Mumbai local trains, just like most of Mumbai women. I take the harbour line train, which goes from Mahim to CST. I have seen many a time after 8 pm the train gets empty, and there is no presence of RPF personnel. The railways should look at increasing security in these routes.","Others, "
2640,my friend's mother was at vikaspuri F district park and she saw some lewd comments being passed to her by some boys standing there . she tried ignoring them and went away. but because she was alone she couldn't give it back.,"Commenting, "
2641,"I don't know if this happens with other girls or women but i face this everyday, the men walking towards me bump into me and basically try to have some kinda physical touch. And if you say anything to them they blame the place to be so crowded and that they never meant anything but obviously we girls come to know when something is done on purpose or happened by mistake. And we are in such a hurry that we can't stop every 5 steps to slap the man who tried to do that, and yes that's how frequently it happens. Every 5 steps you'll be crashed by some man walking towards you.","Touching /Groping, "
2642,i am a girl and was going to school.It was sunday and some of the boys commented while passing.That was very depressing for me and I went to home after than rather than going to school,"Commenting, "
2643,"Poor lighting when walking up Channing to turn on Warring, catcalling as well.","Catcalls/Whistles, Poor / No Street Lighting, "
2644,I was walking with my cousin on the road and many men were just staring. I was small but my sister was around 20 and she just ignored it and walked along acting like it never happened.,"Ogling/Facial Expressions/Staring, "
2645,while i was standing on the bus stop there were two guys the bus stop was crowded so i looked around and changed my position and i stood where females were standing on the bus stop by seeing the faces i couldn't recognize that these guys could do these cheap things as an when i was standing near some ladies while i was waiting for the bus these guys also came near toa me like they also changed their positions like i was noticing their actions i saw that there were giving me cheap facial expressions by seeing this i changed my direction i faced them just in opposite direction then also i noticed that they were continously smiling and looking at me as if they were talking about me only and trying to judging me then when i boarded my bus they also boarded the same bus the boys were standing just next to me then i told my parents that i wont be able to travel through public transport as these sort of things happens in them.,"Ogling/Facial Expressions/Staring, "
2646,"When I was returning from coaching around 6 pm , two boys from their Kavi nagar on bike passed a comment firstly I ignored but then they started following me and they continuously asked me my personal details I refused to tell then I took out mobile phone from my pocket then they went from they but 2-3 days they continuously stalked me","Stalking, "
2647,Boys going on bikes passes cheap comments and stares.,"Commenting, "
2648,"I took a taxi from borivali station east for thane, after reaching there he asked for night fares even it was day time, after 5am, asked for 70 rs toll, although he didn't paid the toll, just used a name to avoid toll, and most important i gave him 2 notes of 500, he quickly exchanged one with 100 rs note and said i have only provided 600 inr, i have read about this incident many times, so i knew about the fraud, so i checked again and found my claim correct, so after the intervention of security guard over there, the taxi driver went away. too bad i didn't noted the taxi number, it was maruti van	.","Others, "
2649,in the daylight a girl found that her pictures were taken when she was waiting for a bus on a stop.,"Taking pictures/ Distributing pictures, "
2650,some lewd comments were passed to a girl when she wore a short dress and was going back to her place at night. the so called society questioned her about dressing that way.,"Commenting, "
2651,the area is never safe for girl be in day or night. a lady going in the evening back to her house had to face the unnatural staring of to men which disturbed her.,"Ogling/Facial Expressions/Staring, "
2652,two girls of this college who are now pass outs were ragged when they were the new admissions against their wishes .,"Others, "
2653,children are ridiculed by older boys who make fun of them regarding their dress sense and their financial condition.,"Others, "
2654,being no street light is a bit of a problem in a away that one doesn't see to what is happening and some men taking advantage when small girls play around.,"Poor / No Street Lighting, "
2655,a girl was deeply depressed because some boys in her school used to tease her for being an obese person. she couldn't stand the fact and tried to commit suicide but was counselled well.,"Indecent exposure, "
2656,a girl was deeply depressed because she was sexually abused when a man in public showed her his private parts which frightened her very much .,"Sexual Invites, "
2657,a small boy nearly 5 to 6 years who was roaming near his home was given some really fierce looks my an uncle standing which made him run form there. he abused him for no reason but the boy couldn't help and ran away.,"Ogling/Facial Expressions/Staring, "
2658,a minor girl roaming outside her place was stalked by two men . she ran fast to reach her place.,"Stalking, "
2659,near queen mary's school one can see a lot of cheap boys standing because of the school being an all- girls school.one girl going out of the school saw a boy commenting on her body which she found really disgusting.,"Commenting, "
2660,at central secretariat one sees a lot of crowd boarding and boarding the metro. One of my friends was deboarding and felt that somebody was trying to touch her on her lower back.,"Touching /Groping, "
2661,A man happened to pass by a girl walking through the area who deliberately touched her hand while passing close by her.,"Touching /Groping, "
2662,a girl was walking in her own district park when she saw somebody clicking her pictures and she treid hiding her face but the boy still captured 2 to 3 pictures of her. she complained to an old man sitting in the park and his phone was taken away by the uncle and he was hit hard.,"Taking pictures/ Distributing pictures, "
2663,a lady who was going back from her office to her place in the evening heard somebody whistling at her but she didn't pay too much attention as it was late and she wanted to reach her house as fast as early.,"Catcalls/Whistles, "
2664,A lady was going to her office and was waiting for an rickshaw the rickshaw driver came very close to her when she denied sitting in his rickshaw as he wasn't going by a meter. he literally made her feel vulnerable that she got scared and went away from there.,"Indecent exposure, "
2665,Being near du means seeing the mix type of crowd and one of the du students was a victim of some evils comments by a boy. being with her friends the girl could give it back to the boy.,"Commenting, "
2666,a girl while going to the metro station saw somebody stalking her while talking to somebody on the phone. he followed her for 20 minutes and after she met a friend while going and the boy disappeared.,"Stalking, "
